datetime,waterlevel
7/4/2013 21:30,0.27
7/4/2013 21:40,0.26
7/4/2013 21:50,0.27
7/4/2013 22:00,0.28
7/4/2013 22:10,0.28
7/4/2013 22:20,0.28
7/4/2013 22:30,0.29
7/4/2013 22:40,0.24
7/4/2013 22:50,0.25
7/4/2013 23:00,0.27
7/4/2013 23:10,0.29
7/4/2013 23:20,0.3
7/4/2013 23:40,0.29
7/4/2013 23:41,0.29
7/4/2013 23:50,0.29
7/5/2013 0:00,0.29
7/5/2013 0:10,0.28
7/5/2013 0:20,0.29
7/5/2013 0:30,0.29
7/5/2013 0:40,0.29
7/5/2013 0:50,0.3
7/5/2013 1:00,0.3
7/5/2013 1:10,0.3
7/5/2013 1:20,0.3
7/5/2013 1:30,0.29
7/5/2013 1:40,0.3
7/5/2013 1:50,0.28
7/5/2013 2:00,0.3
7/5/2013 2:10,0.28
7/5/2013 2:20,0.31
7/5/2013 2:30,0.3
7/5/2013 2:40,0.31
7/5/2013 2:50,0.29
7/5/2013 3:00,0.31
7/5/2013 3:10,0.32
7/5/2013 3:20,0.32
7/5/2013 3:30,0.33
7/5/2013 3:40,0.32
7/5/2013 4:40,0.27
7/5/2013 4:50,0.31
7/5/2013 5:00,0.3
7/5/2013 5:10,0.3
7/5/2013 5:20,0.29
7/5/2013 5:30,0.29
7/5/2013 5:40,0.28
7/5/2013 5:50,0.27
7/5/2013 6:00,0.27
7/5/2013 6:10,0.24
7/5/2013 6:20,0.24
7/5/2013 7:41,0.17
7/5/2013 9:01,0.18
7/5/2013 10:41,0.15
7/5/2013 11:00,0.16
7/5/2013 11:10,0.11
7/5/2013 11:20,0.16
7/5/2013 11:30,0.1
7/5/2013 11:40,0.13
7/5/2013 11:50,0.12
7/5/2013 12:00,0.13
7/5/2013 12:10,0.13
7/5/2013 12:20,0.11
7/5/2013 12:30,0.13
7/5/2013 12:40,0.11
7/5/2013 12:50,0.12
7/5/2013 13:00,0.1
7/5/2013 13:10,0.1
7/5/2013 13:20,0.15
7/5/2013 13:30,0.14
7/5/2013 13:40,0.14
7/5/2013 13:50,0.15
7/5/2013 14:00,0.18
7/5/2013 14:10,0.13
7/5/2013 14:20,0.15
7/5/2013 14:30,0.1
7/5/2013 14:40,0.17
7/5/2013 14:41,0.13
7/5/2013 15:10,0.17
7/5/2013 15:20,0.19
7/5/2013 15:30,0.18
7/5/2013 15:40,0.2
7/5/2013 15:50,0.23
7/5/2013 16:00,0.22
7/5/2013 16:10,0.27
7/5/2013 16:20,0.24
7/5/2013 16:30,0.26
7/5/2013 16:40,0.28
7/5/2013 16:50,0.3
7/5/2013 17:00,0.3
7/5/2013 17:10,0.3
7/5/2013 17:20,0.28
7/5/2013 17:30,0.25
7/5/2013 17:40,0.3
7/5/2013 17:50,0.32
7/5/2013 18:00,0.31
7/5/2013 18:10,0.33
7/5/2013 18:20,0.33
7/5/2013 18:30,0.35
7/5/2013 18:40,0.35
7/5/2013 18:50,0.34
7/5/2013 19:00,0.37
7/5/2013 19:10,0.35
7/5/2013 19:20,0.36
7/5/2013 19:30,0.37
7/5/2013 19:40,0.4
7/5/2013 19:50,0.41
7/5/2013 20:00,0.4
7/5/2013 20:10,0.41
7/5/2013 20:20,0.4
7/5/2013 20:30,0.42
7/5/2013 20:40,0.41
7/5/2013 20:50,0.42
7/5/2013 21:00,0.45
7/5/2013 23:50,0.55
7/6/2013 0:00,0.57
7/6/2013 0:10,0.58
7/6/2013 0:20,0.58
7/6/2013 0:30,0.58
7/6/2013 0:40,0.58
7/6/2013 0:50,0.59
7/6/2013 1:00,0.59
7/6/2013 1:10,0.59
7/6/2013 1:20,0.59
7/6/2013 1:30,0.6
7/6/2013 1:40,0.59
7/6/2013 1:50,0.59
7/6/2013 2:00,0.6
7/6/2013 2:10,0.6
7/6/2013 2:20,0.61
7/6/2013 2:30,0.6
7/6/2013 2:40,0.58
7/6/2013 2:50,0.58
7/6/2013 3:00,0.58
7/6/2013 3:10,0.58
7/6/2013 3:20,0.61
7/6/2013 3:30,0.62
7/6/2013 3:40,0.61
7/6/2013 3:50,0.61
7/6/2013 4:00,0.61
7/6/2013 4:10,0.62
7/6/2013 4:20,0.62
7/6/2013 4:30,0.62
7/6/2013 4:40,0.63
7/6/2013 4:50,0.63
7/6/2013 5:00,0.63
7/6/2013 5:10,0.63
7/6/2013 5:20,0.62
7/6/2013 5:30,0.61
7/6/2013 5:40,0.61
7/6/2013 5:50,0.61
7/6/2013 6:00,0.63
7/6/2013 6:10,0.62
7/6/2013 6:20,0.63
7/6/2013 6:30,0.63
7/6/2013 6:40,0.62
7/6/2013 6:50,0.63
7/6/2013 7:00,0.62
7/6/2013 7:10,0.65
7/6/2013 7:20,0.67
7/6/2013 7:30,0.68
7/6/2013 7:40,0.7
7/6/2013 7:50,0.7
